mdb_source_id,data_type,entity_type,location.country_code,location.subdivision_name,location.municipality,provider,is_official,name,note,feed_contact_email,static_reference,urls.direct_download,urls.authentication_type,urls.authentication_info,urls.api_key_parameter_name,urls.latest,urls.license,location.bounding_box.minimum_latitude,location.bounding_box.maximum_latitude,location.bounding_box.minimum_longitude,location.bounding_box.maximum_longitude,location.bounding_box.extracted_on,status,features,redirect.id,redirect.comment
1,gtfs,,US,Maine,Casco Bay,Casco Bay Lines,,,,,,http://smttracker.com/downloads/gtfs/cascobaylines-portland-me-usa.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-maine-casco-bay-lines-gtfs-1.zip?alt=media,,43.655373,43.71619,-70.248666,-70.11018,2022-02-22T19:51:22+00:00,inactive,,,
2,gtfs,,CA,Ontario,London,London Transit Commission,,,,croy@londontransit.ca,,http://www.londontransit.ca/gtfsfeed/google_transit.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-ontario-london-transit-commission-gtfs-2.zip?alt=media,https://www.londontransit.ca/open-data/ltcs-open-data-terms-of-use/,42.905244,43.051188,-81.36311,-81.137591,2022-02-22T19:51:34+00:00,,,,
3,gtfs,,CA,Ontario,Barrie,Barrie Transit,True,,,,,http://www.myridebarrie.ca/gtfs/Google_transit.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-ontario-barrie-transit-gtfs-3.zip?alt=media,https://www.barrie.ca/services-payments/transportation-parking/barrie-transit/barrie-gtfs,44.3218044,44.42020676,-79.74063237,-79.61089569,2022-03-01T22:43:25+00:00,,,,
4,gtfs,,US,Ohio,Athens,Athens Public Transit,,,,,,https://transitfeeds.com/p/athens-public-transit/298/latest/download,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-ohio-athens-public-transit-gtfs-4.zip?alt=media,,39.295665,39.3992,-82.141964,-82.027972,2022-03-23T14:43:11+00:00,deprecated,,1973,
5,gtfs,,US,New York,Canton,St Lawrence County Public Transit,,,,,,https://s3.amazonaws.com/datatools-511ny/public/St_Lawrence_County_Public_Transit.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-new-york-st-lawrence-county-public-transit-gtfs-5.zip?alt=media,https://data.ny.gov/download/77gx-ii52/application/pdf,44.148476,44.979369,-75.75695,-74.611761,2022-03-14T20:02:31+00:00,deprecated,,2608,
6,gtfs,,AR,Buenos Aires,,Subterráneos de Buenos Aires (SUBTE),,,,,,https://cdn.buenosaires.gob.ar/datosabiertos/datasets/sbase/subte-gtfs/subte-gtfs-zip.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ar-buenos-aires-subterraneos-de-buenos-aires-subte-gtfs-6.zip?alt=media,https://data.buenosaires.gob.ar/dataset/subte-gtfs,,,,,2022-03-14T20:02:35+00:00,inactive,,,
7,gtfs,,BR,Rio Grande do Sul,Porto Alegre,Empresa Publica de Transportes e Circulação (EPTC),,,,,,https://dadosabertos.poa.br/dataset/1fe9c2c1-9fbe-48ea-841b-61e30597ecd6/resource/b3bce61f-78ee-49eb-be57-6236d82bd5e0/download/outputfiles.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/br-rio-grande-do-sul-empresa-publica-de-transportes-e-circulacao-eptc-gtfs-7.zip?alt=media,https://dadosabertos.poa.br/dataset/gtfs,-30.241904,-29.970497,-51.280762,-51.02079,2022-03-14T20:03:02+00:00,,,,
8,gtfs,,BR,São Paulo,São Paulo,São Paulo Transporte (SPTrans),True,,,,,https://www.sptrans.com.br/umbraco/Surface/PerfilDesenvolvedor/BaixarGTFS?memberName=sptrans,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/br-sao-paulo-sao-paulo-transporte-sptrans-gtfs-8.zip?alt=media,,-23.911109,-23.195643,-46.983928,-46.18493,2022-03-14T20:03:17+00:00,,,,
9,gtfs,,BR,Minas Gerais,Belo Horizonte,Empresa de Transportes e Transito de Belo Horizonte (BHTRANS),,,,suporte@mobilibus.com,,https://ckan.pbh.gov.br/dataset/77764a7e-63fc-4111-ace3-fb7d3037953a/resource/f0fa78dc-74c3-49fa-8971-c310a76a07fa/download/gtfsfiles.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/br-minas-gerais-empresa-de-transportes-e-transito-de-belo-horizonte-bhtrans-gtfs-9.zip?alt=media,https://dados.pbh.gov.br/dataset/gtfs-estatico-do-sistema-convencional,-20.0284450406583,-19.7762119628908,-44.0594627202399,-43.8624469938131,2022-03-14T20:04:15+00:00,,fares-v1,,
10,gtfs,,US,Hawaii,Honolulu,TheBus,,,,,,http://webapps.thebus.org/transitdata/Production/google_transit.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-hawaii-thebus-gtfs-10.zip?alt=media,,21.255957,21.70327,-158.228463,-157.662429,2022-03-14T20:04:46+00:00,deprecated,,2350,
11,gtfs,,US,,,Amtrak,,,,,,https://content.amtrak.com/content/gtfs/GTFS.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-unknown-amtrak-gtfs-11.zip?alt=media,,25.849554,49.273757,-124.16933,-69.965541,2022-03-14T20:04:54+00:00,,,,
12,gtfs,,US,California,Long Beach,Avalon Transit,True,,,support+test+avalon-ca-us@trilliumtransit.com,,http://data.trilliumtransit.com/gtfs/avalon-ca-us/avalon-ca-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-avalon-transit-gtfs-12.zip?alt=media,,33.3265468093768,33.350836003873,-118.340356050519,-118.32185964799,2022-03-14T20:04:57+00:00,,fares-v2|fares-v1,,
13,gtfs,,US,California,San Diego,"San Diego International Airport, Metropolitan Transit System (MTS)",True,,,,,https://www.sdmts.com/google_transit_files/google_transit.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-san-diego-international-airport-metropolitan-transit-system-mts-gtfs-13.zip?alt=media,https://www.sdmts.com/business-center-developers/terms-and-conditions,32.542819141808,33.256886800725,-117.277923661848,-116.184457875596,2022-03-14T20:05:04+00:00,,fares-v1|fares-v2|pathways,,
14,gtfs,,US,California,San Diego,North County Transit District (NCTD),,,,,,http://www.gonctd.com/google_transit.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-north-county-transit-district-nctd-gtfs-14.zip?alt=media,,32.716895,33.394164,-117.514206,-116.869776,2022-03-14T20:05:11+00:00,deprecated,,3093,
15,gtfs,,US,California,Orange County,Orange County Transportation Authority (OCTA),,,,,,https://www.octa.net/current/google_transit.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-orange-county-transportation-authority-octa-gtfs-15.zip?alt=media,http://www.octa.net/News-and-Resources/Open-Data/Overview/,33.39627,33.93947,-118.11913,-117.57766,2022-03-14T20:06:24+00:00,,,,
16,gtfs,,US,California,Laguna Beach,Laguna Beach Transit (LBT),True,,,,,http://data.trilliumtransit.com/gtfs/lagunabeach-ca-us/lagunabeach-ca-us.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-laguna-beach-transit-lbt-gtfs-16.zip?alt=media,,33.476315,33.656395,-117.799868,-117.716808,2022-03-14T20:06:26+00:00,,fares-v1,,
17,gtfs,,US,Arizona,Yuma,Yuma County Intergovernmental Public Transportation Authority (YCIPTA),,,,,,http://www.ycipta.org/gtfs/google_transit.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-arizona-yuma-county-intergovernmental-public-transportation-authority-ycipta-gtfs-17.zip?alt=media,,32.484682743136176,32.79171205546877,-115.56963801383972,-114.1335509410652,2022-03-14T20:06:27+00:00,,fares-v1,,
18,gtfs,,US,California,,Palo Verde Valley Transit Agency,,,,,,http://data.trilliumtransit.com/gtfs/paloverde_valley-ca-us/paloverde_valley-ca-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-palo-verde-valley-transit-agency-gtfs-18.zip?alt=media,,33.521321,33.83888769,-116.5437887,-114.517118,2022-03-14T20:06:30+00:00,deprecated,fares-v1|fares-v2,2190,
19,gtfs,,US,California,Humboldt County,Humboldt Transit Authority,,,,support+test+humboldtcounty-ca-us@trilliumtransit.com,,http://data.trilliumtransit.com/gtfs/humboldtcounty-ca-us/humboldtcounty-ca-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-humboldt-county-gtfs-19.zip?alt=media,,40.0680453004959,41.061448107054,-124.223416986081,-123.631606,2022-03-14T20:06:35+00:00,deprecated,fares-v1|fares-v2,3032,
20,gtfs,,US,California,Crescent City,Redwood Coast Transit (RCT),,,,support+test+delnorte-ca-us@trilliumtransit.com,,http://data.trilliumtransit.com/gtfs/delnorte-ca-us/delnorte-ca-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-redwood-coast-transit-rct-gtfs-20.zip?alt=media,,40.868565,41.957411,-124.216937405798,-123.96551954304,2022-03-14T20:06:37+00:00,,fares-v1|fares-v2,,
21,gtfs,,US,Oregon,Coos Bay,Coos County Area Transit (CCAT),,,,support+test+cooscounty-or-us@trilliumtransit.com,,https://oregon-gtfs.trilliumtransit.com/gtfs_data/cooscounty-or-us/cooscounty-or-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-oregon-coos-county-area-transit-ccat-gtfs-21.zip?alt=media,,42.87881944,43.982245,-124.434431,-123.345208,2022-03-14T20:06:40+00:00,,fares-v1,,
22,gtfs,,US,Oregon,Brookings,Curry Public Transit,,,,support+test+currypublictransit-brookings-or-us@trilliumtransit.com,,https://oregon-gtfs.trilliumtransit.com/gtfs_data/currypublictransit-or-us/currypublictransit-brookings-or-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-oregon-curry-public-transit-gtfs-22.zip?alt=media,,41.9570322655811,43.4160571073338,-124.498078553064,-124.203528654532,2022-03-14T20:06:46+00:00,,fares-v1,,
23,gtfs,,US,Oregon,Newport,Lincoln County Transit (LCT),True,,,,,https://oregon-gtfs.trilliumtransit.com/gtfs_data/lincolncounty-or-us/lincolncounty-or-us.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-oregon-lincoln-county-transit-lct-gtfs-23.zip?alt=media,,44.3116263048855,45.01935811,-124.105422953253,-123.10286,2022-03-14T20:06:48+00:00,,fares-v1|flex-v1,,
24,gtfs,,US,Oregon,Florence,Rhody Express,True,,,,,https://oregon-gtfs.trilliumtransit.com/gtfs_data/rhodyexpress-or-us/rhodyexpress-or-us.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-oregon-rhody-express-gtfs-24.zip?alt=media,,43.9663292158148,44.00783688,-124.118156,-124.086991158899,2022-03-14T20:06:49+00:00,,fares-v1,,
25,gtfs,,US,California,Bishop,Eastern Sierra Transit,,,,support+test+easternsierra-ca-us@trilliumtransit.com,,http://data.trilliumtransit.com/gtfs/easternsierra-ca-us/easternsierra-ca-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-eastern-sierra-transit-gtfs-25.zip?alt=media,,34.696209,39.53475879,-119.818352,-115.908348,2022-03-14T20:06:51+00:00,,fares-v1|fares-v2,,
26,gtfs,,US,California,Santa Maria,Santa Maria Area Transit,,,,support+test+smat-ca-us@trilliumtransit.com,,http://data.trilliumtransit.com/gtfs/smat-ca-us/smat-ca-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-santa-maria-area-transit-gtfs-26.zip?alt=media,,34.595943118981,34.98595,-120.52211,-120.140531457672,2022-03-14T20:06:55+00:00,deprecated,fares-v1|fares-v2,2272,
27,gtfs,,US,California,Bakersfield,Airport Valet Express,True,,,support+airportvaletexpress-ca-us@trilliumtransit.com,,http://data.trilliumtransit.com/gtfs/airportvaletexpress-ca-us/airportvaletexpress-ca-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-airport-valet-express-gtfs-27.zip?alt=media,,33.942609,35.3533707819563,-119.062001238098,-118.398682,2022-03-14T20:06:57+00:00,inactive,fares-v1,,
28,gtfs,,US,California,Los Angeles,Los Angeles County Department of Public Works (the LINK and shuttles),,,,support+test+dpwlacounty-ca-us@trilliumtransit.com,,http://data.trilliumtransit.com/gtfs/dpwlacounty-ca-us/dpwlacounty-ca-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-los-angeles-county-shuttles-gtfs-28.zip?alt=media,,,,,,2022-03-16T20:09:33+00:00,,fares-v1|fares-v2,,
29,gtfs,,US,California,Los Angeles,Los Angeles County Metropolitan Transportation Authority (LA Metro),True,Bus,,,,https://gitlab.com/LACMTA/gtfs_bus/raw/master/gtfs_bus.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-los-angeles-county-metropolitan-transportation-authority-gtfs-29.zip?alt=media,http://developer.metro.net/the-basics/policies/terms-and-conditions/,33.706853,34.326157,-118.860915,-117.913475,2022-03-14T20:07:16+00:00,,,,
30,gtfs,,US,California,Los Angeles,Los Angeles County Metropolitan Transportation Authority (LA Metro),True,Rail,,,,https://gitlab.com/LACMTA/gtfs_rail/raw/master/gtfs_rail.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-la-metro-rail-gtfs-30.zip?alt=media,https://developer.metro.net/terms-conditions/,33.76804,34.16906,-118.49189,-117.89085,2022-03-14T20:07:18+00:00,,,,
31,gtfs,,US,California,Santa Barbara,Ventura County Transportation Commission,,,,support+test+vctc-ca-us@trilliumtransit.com,,http://data.trilliumtransit.com/gtfs/vctc-ca-us/vctc-ca-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-ventura-county-transportation-commission-gtfs-31.zip?alt=media,,34.15384,34.4439177,-119.865593734324,-118.588218,2022-03-14T20:07:23+00:00,deprecated,fares-v1|fares-v2,3096,
32,gtfs,,US,California,Oxnard,"Gold Coast Transit, South Coast Area Transit",,,,,,http://www.goldcoasttransit.org/images/GTFS/GTFS.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-gold-coast-transit-south-coast-area-transit-gtfs-32.zip?alt=media,http://www.goldcoasttransit.org/2-uncategorised/250-gtfs-data-download,34.14269871250784,34.44820108297236,-119.30746185,-119.13247253857648,2022-03-14T20:07:30+00:00,,fares-v1,,
33,gtfs,,US,California,Thousand Oaks,Thousand Oaks Transit,,,,support+test+thousandoaks-ca-us@trilliumtransit.com,,http://data.trilliumtransit.com/gtfs/thousandoaks-ca-us/thousandoaks-ca-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-thousand-oaks-transit-gtfs-33.zip?alt=media,,34.021383769332,34.285345,-118.981959,-118.815668825,2022-03-14T20:07:32+00:00,deprecated,fares-v1,2237,
34,gtfs,,US,California,Torrance,Torrance Transit,,,,,,https://transit.torranceca.gov/home/showdocument?id=16673,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-torrance-transit-gtfs-34.zip?alt=media,https://transit.torranceca.gov/home/showdocument?id=6052,33.768128,34.059919,-118.399852,-118.189549,2022-03-14T20:07:36+00:00,,,,
35,gtfs,,US,California,,Palos Verdes Peninsula Transit Authority (PVPTA),True,,,,,http://data.trilliumtransit.com/gtfs/pvpta-ca-us/pvpta-ca-us.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-palos-verdes-peninsula-transit-authority-pvpta-gtfs-35.zip?alt=media,,33.720604,33.819042,-118.423141,-118.287674940168,2022-03-14T20:07:38+00:00,,fares-v1|fares-v2,,
36,gtfs,,US,California,Lawndale,Lawndale Beat,,,,support+test+cityoflawndale-ca-us@trilliumtransit.com,,http://data.trilliumtransit.com/gtfs/cityoflawndale-ca-us/cityoflawndale-ca-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-lawndale-beat-gtfs-36.zip?alt=media,,33.8708620651923,33.9017846932411,-118.369570637078,-118.344004807838,2022-03-14T20:07:40+00:00,,fares-v1,,
37,gtfs,,US,California,Santa Monica,Big Blue Bus,True,,,,,http://gtfs.bigbluebus.com/current.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-big-blue-bus-gtfs-37.zip?alt=media,,33.929498,34.075669,-118.549205,-118.237266,2022-03-14T20:07:49+00:00,,fares-v1,,
38,gtfs,,US,California,Culver City,Culver City Bus,,,,,,https://www.culvercity.org/files/assets/public/documents/information-technology/maps/gtfsexport.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-culver-city-bus-gtfs-38.zip?alt=media,,33.929593,34.068294,-118.471525,-118.36869,2022-07-26T16:06:33+00:00,,fares-v1,,
39,gtfs,,US,California,Monterey Park,Spirit Bus,,,,,,http://data.trilliumtransit.com/gtfs/montereypark-ca-us/montereypark-ca-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-spirit-bus-gtfs-39.zip?alt=media,,34.0365252,34.0697248,-118.1686876,-118.1088128,2022-03-14T20:07:53+00:00,deprecated,fares-v2|fares-v1,2202,
40,gtfs,,US,California,Simi Valley,Simi Valley Transit,,,,support+test+simivalley-ca-us@trilliumtransit.com,,http://data.trilliumtransit.com/gtfs/simivalley-ca-us/simivalley-ca-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-simi-valley-transit-gtfs-40.zip?alt=media,,34.22958457,34.3021463101492,-118.83637467254,-118.598911921367,2022-03-14T20:07:54+00:00,,fares-v1|fares-v2,,
41,gtfs,,US,California,Pasadena,Pasadena Transit,,,,,,http://rt.pasadenatransit.net/rtt/public/utility/gtfs.aspx,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-pasadena-transit-gtfs-41.zip?alt=media,https://www.cityofpasadena.net/pasadena-transit/real-time-applications/,34.127464,34.197933,-118.185589,-118.068852,2022-03-14T20:07:56+00:00,,,,
42,gtfs,,US,California,Hanford,Kings Area Rural Transit,,,,support+kcapta-ca-us@trilliumtransit.com,,http://data.trilliumtransit.com/gtfs/kcapta-ca-us/kcapta-ca-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-kings-area-rural-transit-gtfs-42.zip?alt=media,,36.002941,36.885069,-120.14516,-119.288234,2022-03-14T20:07:58+00:00,deprecated,fares-v1,2204,
43,gtfs,,US,California,San Luis Obispo,San Luis Obispo Regional Transit Authority (SLORTA),,,,,,http://slo.connexionz.net/rtt/public/resource/gtfs.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-san-luis-obispo-regional-transit-authority-slorta-gtfs-43.zip?alt=media,,34.944001,35.752511,-121.186588,-120.413275,2022-03-14T20:08:07+00:00,,fares-v1,,
44,gtfs,,US,California,San Luis Obispo,City of San Luis Obispo Transit,,,,marcy@mjcaction.com,,https://app.mecatran.com/urb/ws/feed/c2l0ZT1zbG90cmFuc2l0O2NsaWVudD1zZWxmO2V4cGlyZT07dHlwZT1ndGZzO2tleT0zZTMwMzM1OTRiMTE2NzA0N2IxNjQwNjA0ZjQwMGMzMzdiM2E1MTQ0,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-city-of-san-luis-obispo-transit-gtfs-44.zip?alt=media,,35.23933972,35.302551,-120.70909948,-120.63319399,2022-03-14T20:08:09+00:00,,fares-v1,,
45,gtfs,,US,California,Morro Bay,Morro Bay Transit,,,,marcy@mjcaction.com,,http://mjcaction.com/MJC_GTFS_Public/morrobay_google_transit.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-morro-bay-transit-gtfs-45.zip?alt=media,,35.3469986712409,35.4033897704827,-120.867305248975,-120.840760767459,2022-03-14T20:08:10+00:00,deprecated,fares-v1,2059,
46,gtfs,,US,California,Bakersfield,Golden Empire Transit District (GET),,,,,,http://eta.getbus.org/rtt/public/utility/gtfs.aspx,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-golden-empire-transit-district-get-gtfs-46.zip?alt=media,,34.976628,35.447091,-119.145718,-118.91409,2022-03-14T20:08:13+00:00,,fares-v1,,
47,gtfs,,US,California,Bakersfield,Kern Transit,,,,support+test+kerncounty-ca-us@trilliumtransit.com,,http://data.trilliumtransit.com/gtfs/kerncounty-ca-us/kerncounty-ca-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-kern-transit-gtfs-47.zip?alt=media,,34.4136741299023,35.77525384,-119.694137,-117.6462533,2022-03-14T20:08:17+00:00,,fares-v1|fares-v2,,
48,gtfs,,US,California,Tulare,Porterville Transit,True,,,support+test+tcrta-ca-us@trilliumtransit.com,,http://data.trilliumtransit.com/gtfs/porterville-ca-us/porterville-ca-us.zip,0,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-porterville-transit-gtfs-48.zip?alt=media,,36.027009,36.098346,-119.079056,-118.77602944931,2022-03-14T20:08:20+00:00,,fares-v1|fares-v2,,
49,gtfs,,US,California,San Mateo,San Mateo County Transit District (samTrans),,,,,,http://www.samtrans.com/Assets/GTFS/samtrans/ST-GTFS.zip,,,,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/us-california-san-mateo-county-transit-district-samtrans-gtfs-49.zip?alt=media,http://www.samtrans.com/Developer.html,37.250304,37.795815,-122.51796,-122.129824,2022-03-14T20:08:32+00:00,deprecated,fares-v1,2708,
